"","FISHID","Year","Month","Heatwave","CLADOCERA","MYSIDAE","GAMMARIDAE","HARPACTICOIDA","CAPRELLIDAE","CALANOIDA","OTHER"
"52","BL0869",2010,7,"Before",0.00910441618641567,0,0,0.0435372551347936,0,0.947358328678791,0
"53","BL2455",2012,7,"Before",0,0,0,0.0137375912792785,0,0.946933170930882,0.0393292377898398
"54","BL2441",2012,7,"Before",0,0,0.00833358832572585,0.04009220256853,0,0.945529805099095,0.00604440400664956
"55","BL2454",2012,7,"Before",0,0,0.94491880252415,0,0.0550811974758501,0,0
"56","BL0823",2010,7,"Before",0,0.0638704675212902,0,0.93612953247871,0,0,0
"57","BL2068",2013,7,"Before",0.0109208663586883,0,0.929807735793123,0.0451197493433698,0,0,0.014151648504819
"58","BL2445",2012,7,"Before",0,0,0.927665692083808,0.0723343079161922,0,0,0
"59","BL2324",2017,7,"Between",0,0,0.0777817843987189,0.922218215601281,0,0,0
"60","BL2326",2017,7,"Between",0.0164497873354485,0,0.919569353118635,0.0185271747576601,0.0454536847882559,0,0
"61","BL2026",2018,7,"Between",0,0,0.0816466826538769,0,0.918353317346123,0,0
"62","BL2069",2013,7,"Before",0.0823314803347048,0,0,0.917668519665295,0,0,0
"63","BL2050",2013,7,"Before",0.0242106520742823,0.00537672307365424,0,0.915606686344763,0,0,0.0548059385073007
"64","BL2460",2012,7,"Before",0,0,0.915146708961142,0,0.084853291038858,0,0
"65","BL0772",2007,7,"Before",0.0190031945641207,0,0,0,0,0.980996805435879,0
"66","BL2015",2018,7,"Between",0.0119284556328433,0.00263554661878277,0,0.911491422625864,0.0343172392390561,0,0.039627335883454
"67","BL2316",2017,7,"Between",0.0303672288039862,0.0362223108800448,0.0162480991280808,0.910096468168663,0.00706589301922559,0,0
"68","BL2236",2016,7,"Heatwave",0,0.0177307113512423,0.0750666611553573,0,0,0.9072026274934,0
"69","BL0766",2007,7,"Before",0.906497563419068,0,0,0.0935024365809319,0,0,0
"70","BL0872",2010,7,"Before",0.0445229070823971,0,0,0.0526696935966255,0,0.902807399320977,0
"71","BL2461",2012,7,"Before",0,0,0.897043325526932,0,0.102956674473068,0,0
"72","BL2141",2014,7,"Heatwave",0,0.894298272417936,0,0.0360196382312849,0,0.069682089350779,0
"73","BL0774",2007,7,"Before",0.887048477158557,0,0,0.112951522841443,0,0,0
"74","BL2329",2017,7,"Between",0,0,0.11341473725527,0.88658526274473,0,0,0
"75","BL2021",2018,7,"Between",0.00296936519359475,0,0,0.0678260654014248,0.0470658559303566,0.882138713474624,0
"76","BL2305",2016,7,"Heatwave",0.878304854963886,0,0.013236877001033,0.034040097432081,0,0.0744181706030001,0
"77","BL2306",2016,7,"Heatwave",0.877068826387468,0,0.0305487620639762,0.092382411548556,0,0,0
"78","BL2137",2014,7,"Heatwave",0.0648691969857193,0,0,0.876326458553641,0,0,0.05880434446064
"79","BL0873",2010,7,"Before",0.0377543178421398,0,0,0.0874629934010971,0,0.874782688756763,0
"80","BL0785",2010,7,"Before",0.00681087040732968,0,0,0.123729897456305,0,0.869459232136365,0
"81","BL2458",2012,7,"Before",0,0,0,0.0339926733823634,0,0.869297781080673,0.0967095455369635
"82","BL0062",2009,7,"Before",0,0,0,0.865932578159021,0,0,0.134067421840979
"83","BL0855",2010,7,"Before",0,0,0,0.142737510305746,0,0.857262489694254,0
"84","BL2158",2014,7,"Heatwave",0,0.855191394578577,0,0.144808605421423,0,0,0
"85","BL2344",2016,7,"Heatwave",0,0,0,0.854586118300187,0.036661214062088,0,0.108752667637725
"86","BL0782",2010,7,"Before",0.0725320449206444,0,0,0.074899293801657,0,0.852568661277699,0
"87","BL0840",2010,7,"Before",0,0,0.00959232800142664,0.0763627968354442,0,0.847339470211607,0.0667054049515217
"88","BL0763",2007,7,"Before",0.840418933751156,0,0,0.0744570676055937,0,0,0.0851239986432507
"89","BL2292",2017,7,"Between",0,0.12831621913401,0.82905967987387,0,0,0,0.0426241009921204
"90","BL2029",2018,7,"Between",0,0,0.146163909914961,0,0.827109615923745,0,0.0267264741612933
"91","BL0843",2010,7,"Before",0,0,0,0.17418339306998,0,0.82581660693002,0
"92","BL0779",2010,7,"Before",0,0,0,0.178856926843589,0,0.821143073156411,0
"93","BL0861",2010,7,"Before",0,0,0,0.180620144498489,0,0.819379855501511,0
"94","BL2167",2014,7,"Heatwave",0.0129094366045567,0,0.064017817414671,0.809743956694756,0,0.113328789286016,0
"95","BL2449",2012,7,"Before",0,0,0.809611518211934,0.104619112789075,0,0.085769368998991,0
"96","BL0232",2009,7,"Before",0,0,0,0.19198918120485,0,0.80801081879515,0
"97","BL2302",2016,7,"Heatwave",0.806573934744137,0,0.193426065255863,0,0,0,0
"98","BL2027",2018,7,"Between",0.805269124011137,0,0.00540247432563442,0.165163275800554,0.00660901545308185,0,0.0175561104095922
"99","BL2038",2018,7,"Between",0,0,0,0.800933072696346,0,0.199066927303654,0
"100","BL2071",2013,7,"Before",0.199852507374631,0,0,0,0,0.800147492625369,0
"101","BL2347",2016,7,"Heatwave",0,0,0.79766631882993,0.202333681170069,0,0,0
"102","BL0072",2009,7,"Before",0,0.0508828675083533,0,0.155296088762854,0,0.793821043728793,0
"103","BL0799",2010,7,"Before",0.107150722608828,0,0,0.107628926174095,0,0.785220351217077,0
"104","BL2005",2018,7,"Between",0,0.0365355262802847,0,0.783999066132156,0,0,0.179465407587559
"105","BL2129",2015,7,"Heatwave",0,0,0,0.22521348633062,0,0.77478651366938,0
"106","BL2311",2015,7,"Heatwave",0,0,0,0,0,1,0
"107","BL0213",2009,7,"Before",0.229732565083362,0,0,0,0,0.770267434916638,0
"108","BL2327",2017,7,"Between",0,0,0.179499224992031,0.0515940779868507,0.768906697021119,0,0
"109","BL0879",2010,7,"Before",0.0504306234665594,0,0,0.156879302670605,0,0.773458740829181,0.019231333033654
"110","BL2080",2013,7,"Before",0,0,0.177892623695818,0.763218583020411,0,0,0.0588887932837709
"111","BL2147",2014,7,"Heatwave",0,0.761715865561763,0,0,0,0.238284134438237,0
"112","BL2463",2012,7,"Before",0,0,0.761464581321643,0.238535418678357,0,0,0
"113","BL0761",2007,7,"Before",0.760236939851426,0,0,0,0,0.0997858255451713,0.139977234603403
"114","BL2448",2012,7,"Before",0,0.123068698826477,0.754198805978113,0.0310331767341889,0,0.0916993184612207,0
"115","BL0756",2007,7,"Before",0.753449573870226,0,0,0.0840423916445512,0,0.125339161946864,0.0371688725383588
"116","BL2446",2012,7,"Before",0,0,0.751828053582566,0.186128959813075,0,0.0620429866043585,0
"117","BL2238",2016,7,"Heatwave",0,0.747176913425345,0,0,0,0,0.252823086574655
"118","BL2287",2017,7,"Between",0,0,0.746116870317732,0.253883129682269,0,0,0
"119","BL2457",2012,7,"Before",0,0,0.0162563313335211,0.233907391779886,0.0012995998452458,0.739650427245767,0.00888624979557993
"120","BL2337",2016,7,"Heatwave",0,0.26080333097534,0,0.73919666902466,0,0,0
"121","BL2453",2012,7,"Before",0,0,0.738193073473823,0.261806926526177,0,0,0
"122","BL2240",2016,7,"Heatwave",0,0.248390569858639,0,0.0173849306584427,0,0.734224499482918,0
"123","BL2164",2014,7,"Heatwave",0,0.73353406988183,0,0.190819819363316,0,0,0.0756461107548544
"124","BL0775",2007,7,"Before",0.217068562659549,0,0,0.0586675607488086,0,0.724263876591643,0
"125","BL2144",2014,7,"Heatwave",0,0.723036857702414,0,0.23275261525092,0,0.0442105270466657,0
"126","BL2058",2013,7,"Before",0.230801272382533,0,0,0.722079243185859,0,0,0.0471194844316079
"127","BL2155",2014,7,"Heatwave",0,0.279721215003269,0.720278784996731,0,0,0,0
"128","BL0754",2007,7,"Before",0.714997724887693,0,0,0.264258082688461,0,0.0207441924238463,0
"129","BL2323",2017,7,"Between",0,0,0,0.711258930439077,0.123959103818443,0,0.16478196574248
"130","BL2245",2016,7,"Heatwave",0,0.710939798447195,0.241247348090901,0.0478128534619034,0,0,0
"131","BL0056",2009,7,"Before",0,0,0,0.709542376178098,0,0.290457623821902,0
"132","BL0216",2009,7,"Before",0,0,0,0.709542376178098,0,0.290457623821902,0
"133","BL2464",2012,7,"Before",0,0,0.290943395434784,0.709056604565216,0,0,0
"134","BL0757",2007,7,"Before",0.698444679700532,0,0,0.198874257352681,0,0.102681062946788,0
"135","BL2007",2018,7,"Between",0,0.694010889292196,0.150862068965517,0,0.155127041742287,0,0
"136","BL0876",2010,7,"Before",0,0,0,0.311356916102304,0,0.688643083897696,0
"137","BL2322",2017,7,"Between",0,0.681748898854267,0,0.0336463189332132,0,0.228501630131503,0.0561031520810161
"138","BL2459",2012,7,"Before",0,0,0.142052786058736,0.676052875048139,0.149893315003562,0.0320010238895631,0
"139","BL2156",2014,7,"Heatwave",0,0.325427075834893,0,0.674572924165107,0,0,0
"140","BL0066",2009,7,"Before",0,0,0,0.327104700971985,0,0.672895299028015,0
"141","BL2143",2014,7,"Heatwave",0,0.235457388724886,0.0975278366914104,0,0,0.667014774583704,0
"142","BL0768",2007,7,"Before",0.662793710875714,0,0,0.337206289124286,0,0,0
"143","BL2383",2019,7,"Heatwave",0.278689533119215,0,0,0,0,0.659309858213591,0.062000608667194
"144","BL2010",2018,7,"Between",0,0,0.267864518793887,0.0775505989260636,0.65458488228005,0,0
"145","BL0812",2010,7,"Before",0.117212750675769,0,0.00571807093193459,0.0780108044081118,0,0.679368618905431,0.119689755078753
"146","BL2138",2014,7,"Heatwave",0,0,0.360018799937333,0,0,0,0.639981200062666
"147","BL2400",2019,7,"Heatwave",0.125704859533067,0.114710968439978,0,0,0,0.661842913243976,0.0977412587829786
"148","BL2048",2013,7,"Before",0.321522485924604,0,0,0,0,0.678477514075396,0
"149","BL0760",2007,7,"Before",0.63573617833244,0,0,0.271123589324985,0,0.0552075770440832,0.0379326552984922
"150","BL2312",2017,7,"Between",0,0,0.366141671581268,0.633858328418732,0,0,0
"151","BL0854",2010,7,"Before",0,0,0,0.630572676641218,0,0.369427323358782,0
"152","BL2452",2012,7,"Before",0,0,0.064511674646805,0.626272946064399,0.08102334929361,0.212283028905834,0.0159090010893522
"153","BL2017",2018,7,"Between",0.114370584125383,0,0.263302092333897,0.62232732354072,0,0,0
"154","BL2064",2013,7,"Before",0.0239914363770813,0,0.618767753028518,0.0999469201543634,0.212671251456525,0.0446226389835122,0
"155","BL2012",2018,7,"Between",0,0,0,0.616860869273342,0.383139130726658,0,0
"156","BL0061",2009,7,"Before",0.0312489237468681,0,0,0.615547518368163,0,0.317213522204764,0.0359900356802057
"157","BL2034",2018,7,"Between",0.614167189642718,0.171578998179913,0.126870362698917,0.00725329458362676,0,0.0440898611474603,0.036040293747364
"158","BL0831",2010,7,"Before",0,0,0,0.611924958243264,0,0.35604707143998,0.032027970316756
"159","BL2139",2014,7,"Heatwave",0,0.608038791154693,0.0675234595561271,0.13703478578294,0,0.187402963506241,0
"160","BL2346",2016,7,"Heatwave",0.211155894143072,0,0.101093933841697,0.0844381858010901,0.603311986214141,0,0
"161","BL0773",2007,7,"Before",0.60229933403435,0,0,0.39770066596565,0,0,0
"162","BL2011",2018,7,"Between",0,0,0,0.593127414801738,0.406872585198262,0,0
"163","BL2290",2017,7,"Between",0,0.2844292627384,0.592570452604611,0,0.123000284656988,0,0
"164","BL2059",2013,7,"Before",0,0,0,0.591808579670315,0,0.408191420329685,0
"165","BL2384",2019,7,"Heatwave",0,0.585550650103912,0,0,0,0,0.414449349896088
"166","BL0833",2010,7,"Before",0,0,0,0.584616004472858,0,0.378567783004294,0.036816212522848
"167","BL2462",2012,7,"Before",0,0,0.583570602142965,0.416429397857035,0,0,0
"168","BL2318",2017,7,"Between",0,0.231089139253961,0,0.583223945132748,0.185686915613291,0,0
"169","BL2042",2018,7,"Between",0,0,0,0.582183623499847,0.187501516881943,0.0872357938371947,0.143079065781016
"170","BL2054",2013,7,"Before",0.262437540375664,0,0,0.576916497940517,0,0.109191722268721,0.0514542394150974
"171","BL2386",2019,7,"Heatwave",0.0703928561600705,0.575636505186281,0,0.143857761417906,0,0.0935472414251633,0.116565635810579
"172","BL2062",2013,7,"Before",0.139632998808681,0.0162467737713439,0.178243284687826,0.575315223757727,0.0193556426280636,0.0369404735553397,0.0342656027910181
"173","BL2403",2019,7,"Heatwave",0.0190403311001458,0.573251166132379,0,0,0,0.0559078509247001,0.351800651842775
"174","BL2398",2019,7,"Heatwave",0.2785749870344,0.0698072877125947,0,0,0,0.572585113970291,0.0790326112827148
"175","BL2073",2013,7,"Before",0.110065882706483,0,0.226121047988671,0.571772696049263,0.0569506422822175,0,0.0350897309733658
"176","BL2148",2014,7,"Heatwave",0.57062124558964,0.191456668068552,0,0.0873608481699506,0,0.150561238171858,0
"177","BL0852",2010,7,"Before",0.431977332523781,0.568022667476219,0,0,0,0,0
"178","BL2043",2018,7,"Between",0,0,0,0.434280151362164,0.565719848637836,0,0
"179","BL2061",2013,7,"Before",0,0,0.563449532094815,0.372477697021291,0.0640727708838935,0,0
"180","BL2286",2017,7,"Between",0,0,0.436734496877186,0.563265503122814,0,0,0
"181","BL0234",2009,7,"Before",0,0,0,0.56100805040252,0,0,0.43899194959748
"182","BL2393",2019,7,"Heatwave",0.559365295605157,0,0.147853220709536,0,0,0,0.292781483685307
"183","BL2031",2018,7,"Between",0.312658860213695,0,0.557185559119242,0.0797764733239499,0.0453376656120607,0,0.00504144173105214
"184","BL2399",2019,7,"Heatwave",0.213153295549914,0.00988068855394546,0,0.0975660272848629,0,0.556787206754369,0.122612781856909
"185","BL0764",2007,7,"Before",0.555984845711977,0,0,0.325015831672293,0,0.0416515568229343,0.0773477657927956
"186","BL0067",2009,7,"Before",0,0,0.0382178706598651,0.405887267249782,0,0.555894862090353,0
"187","BL2070",2013,7,"Before",0.375911670829399,0,0,0.55553767318215,0,0.0685506559884512,0
"188","BL2243",2016,7,"Heatwave",0,0,0.555383022774327,0,0,0,0.444616977225673
"189","BL2330",2017,7,"Between",0,0,0.446880578811857,0.553119421188143,0,0,0
"190","BL0243",2009,7,"Before",0.0997195502432869,0.552539054366947,0.271479116137391,0,0,0,0.0762622792523749
"191","BL2067",2013,7,"Before",0.551526717557252,0,0,0,0,0.448473282442748,0
"192","BL2159",2014,7,"Heatwave",0.0233489664605754,0,0.232675377037121,0.546336210335199,0.0629875444522986,0.108490269363919,0.026161632350887
"193","BL0245",2009,7,"Before",0.542304626833723,0.417826697752643,0,0,0,0.0214038208258651,0.0184648545877692
"194","BL2001",2018,7,"Between",0,0,0.461165075519299,0.538834924480701,0,0,0
"195","BL2404",2019,7,"Heatwave",0.0882134532252054,0.536036084303736,0,0.0597362858081337,0.00456150146896017,0.0238266130692682,0.287626062124697
"196","BL0762",2007,7,"Before",0.46520376187064,0,0,0.53479623812936,0,0,0
"197","BL2084",2013,7,"Before",0.443686844790755,0,0,0.531408764925137,0,0,0.0249043902841079
"198","BL2063",2013,7,"Before",0.216100570981837,0,0,0.253400762239812,0,0.53049866677835,0
"199","BL0838",2010,7,"Before",0.13801378150488,0,0,0,0,0.527106059725262,0.334880158769858
"200","BL0769",2007,7,"Before",0.526260913552092,0,0,0.314192598495735,0,0.159546487952173,0
"201","BL0063",2009,7,"Before",0,0.0530632699607769,0,0.425167638694878,0,0.521769091344345,0
"202","BL2338",2016,7,"Heatwave",0,0.478465951343886,0,0,0,0.521534048656114,0
"203","BL2019",2018,7,"Between",0.0547322591111363,0,0,0.511850786459813,0.0519335214021821,0.366551370466188,0.0149320625606808
"204","BL0839",2010,7,"Before",0,0,0.491471750947126,0,0,0,0.508528249052874
"205","BL2301",2016,7,"Heatwave",0.507807254103304,0,0.091327033757413,0.0477156482737654,0.0249262084588374,0.320872160441322,0.00735169496535811
"206","BL0844",2010,7,"Before",0,0,0,0.50641128865494,0,0.493588711345059,0
"207","BL2392",2019,7,"Heatwave",0.375113122171946,0,0,0.0372381431204961,0,0.499011228422993,0.0886375062845651
"208","BL0758",2007,7,"Before",0.18981209921144,0,0,0.308032663496767,0,0.493946935999042,0.00820830129275175
"209","BL0848",2010,7,"Before",0,0,0.491817041820674,0.0734230503281524,0,0.434759907851174,0
"210","BL2166",2014,7,"Heatwave",0,0.261866792913562,0,0.491811156476145,0,0,0.246322050610292
"211","BL2135",2014,7,"Heatwave",0,0,0.0563508310512188,0.452329112551178,0,0.491320056397603,0
"212","BL2079",2013,7,"Before",0.302838208728875,0.487137874637273,0,0,0,0.179629595530085,0.0303943211037676
"213","BL2298",2016,7,"Heatwave",0.124118981881162,0,0.486097487310934,0.36480364354615,0,0,0.0249798872617543
"214","BL2447",2012,7,"Before",0,0,0.484178983818801,0.481378991841749,0,0.0226832206834328,0.0117588036560168
"215","BL2293",2017,7,"Between",0,0,0.483354448959412,0.300767115244967,0,0,0.215878435795621
"216","BL2025",2018,7,"Between",0,0.318042813455657,0.472511043153245,0,0.209446143391098,0,0
"217","BL2406",2019,7,"Heatwave",0.115054772786144,0.467464291313082,0,0.0236561123617141,0,0.173544183047291,0.22028064049177
"218","BL2049",2013,7,"Before",0.15535936729762,0,0,0.459502257569479,0,0.255253680351479,0.129884694781422
"219","BL2294",2017,7,"Between",0,0,0.785349029506484,0,0.214650970493516,0,0
"220","BL2150",2014,7,"Heatwave",0.0547432102909651,0.453614582778981,0.0643278791873227,0.427314327742731,0,0,0
"221","BL2394",2019,7,"Heatwave",0.31133887798758,0,0,0.124091895801797,0,0.449475197466177,0.115094028744446
"222","BL2041",2018,7,"Between",0.446625778121062,0.375377274469963,0.00369234927717681,0.142073094189249,0.00498237167598439,0.0198530439117599,0.00739608835480433
"223","BL2250",2016,7,"Heatwave",0,0.440583340225539,0.314147457449448,0,0.0514922265541602,0,0.193776975770853
"224","BL2410",2019,7,"Heatwave",0,0,0.209091232691418,0,0,0.351012707791977,0.439896059516606
"225","BL2450",2012,7,"Before",0,0,0.131773590781688,0.436896605418873,0,0,0.431329803799439
"226","BL2246",2016,7,"Heatwave",0.193808597931182,0.343542458878548,0.431177751931654,0.0314711912586155,0,0,0
"227","BL2030",2018,7,"Between",0.114079721163185,0.314228217746385,0,0.426898155152913,0.144793905937516,0,0
"228","BL2045",2018,7,"Between",0,0.37975828216827,0.130189302050337,0.425864037438148,0.064188378343245,0,0
"229","BL2387",2019,7,"Heatwave",0.0824331380430585,0.423483022381032,0,0.0219936196734614,0.010006656822651,0.318821853906967,0.143261709172831
"230","BL2408",2019,7,"Heatwave",0.143841889882821,0.00925464398106366,0,0.130111314340051,0,0.422033607432379,0.294758544363685
"231","BL2146",2014,7,"Heatwave",0.316138352458057,0.421497777893082,0.0104646281629609,0.121266387861894,0.0297235431698553,0.100909310454151,0
"232","BL2165",2014,7,"Heatwave",0,0.419695733849853,0.180347093119458,0.271064347521389,0,0.108420755506672,0.020472070002628
"233","BL0767",2007,7,"Before",0.0702717352746789,0,0,0.405816755432029,0,0.523911509293292,0
"234","BL0755",2007,7,"Before",0.402791040525372,0,0,0.401677731224899,0,0.179237466893897,0.016293761355831
"235","BL2402",2019,7,"Heatwave",0.121482924860733,0.398674245721592,0,0.0180768762425385,0,0.184538229805023,0.277227723370114
"236","BL2317",2017,7,"Between",0,0.395381205856225,0.0833979444954053,0.382320368638712,0,0,0.138900481009659
"237","BL2382",2019,7,"Heatwave",0.222062306151289,0,0,0.0297405190198851,0,0.347481405078756,0.40071576975007
"238","BL2047",2013,7,"Before",0.270882880776058,0,0.0421443201881658,0.271914754295618,0,0.381518063087394,0.0335399816527633
"239","BL2385",2019,7,"Heatwave",0.127932828817778,0,0,0.381073253312645,0,0.310083355610883,0.180910562258695
"240","BL2335",2016,7,"Heatwave",0,0,0.36410480349345,0,0.256026200873362,0,0.379868995633188
"241","BL2388",2019,7,"Heatwave",0.079265117433514,0.374360447660281,0.00918749991777447,0.0479421245034156,0.00312629660760427,0.169756841083505,0.316361672793905
"242","BL2234",2016,7,"Heatwave",0.194917259284344,0,0.307954697670918,0.125961244685254,0.371166798359484,0,0
"243","BL2016",2018,7,"Between",0.0402789440094349,0,0.129800661174129,0.240066955491681,0.184963978221682,0.369751354523483,0.0351381065795897
"244","BL2395",2019,7,"Heatwave",0.346354488660945,0,0,0.0738497116170611,0,0.365750595989931,0.214045203732062
"245","BL2130",2014,7,"Heatwave",0,0.310741673134457,0.247699972654698,0.364932082672734,0,0,0.0766262715381106
"246","BL0237",2009,7,"Before",0,0.359333156990359,0,0.361403136444352,0,0.27926370656529,0
"247","BL2407",2019,7,"Heatwave",0.0966505204623174,0,0,0.275987319513782,0,0.353103821038466,0.274258338985435
"248","BL2396",2019,7,"Heatwave",0.352053481885445,0,0,0.109479131900995,0,0.341372392454021,0.197094993759539
"249","BL2389",2019,7,"Heatwave",0.347854429303324,0.0037787909015687,0,0.131223736334295,0,0.327221029468812,0.189922013992001
"250","BL2152",2014,7,"Heatwave",0.321354316017827,0,0,0.338263281451108,0,0,0.340382402531064
"251","BL2331",2017,7,"Between",0,0,0.199317314305543,0.312002530851243,0.289086587111775,0,0.199593567731439
"252","BL2380",2019,7,"Heatwave",0.146457451603044,0.0159449644890411,0,0.117564326379643,0.0731639720470993,0.288472795652692,0.35839648982848
"253","BL2401",2019,7,"Heatwave",0.234312809985439,0.29114785342459,0,0,0,0.24233635752359,0.232202979066381
"254","BL2006",2018,7,"Between",0,0.195724802803047,0.150302005352398,0.0400549013214752,0.28699921127355,0,0.32691907924953
