FISHID,Month,Year,PreySpecies,PreyCount,Prey_WW_g,PreyLH
BL0099,8,2009,ACARTIALONGIREMIS,47,0.00215072,Adult
BL0099,8,2009,HARPACTICOIDA,93,0.01321,AdultLarge
BL0114,8,2009,ACARTIALONGIREMIS,183,0.00837408,Adult
BL0114,8,2009,CAPRELLIDAE,1,0.00008,Juvenile
BL0114,8,2009,CLADOCERA,6,0.00041712,Adult
BL0114,8,2009,HARPACTICOIDA,4,0.00207908,Adult
BL0114,8,2009,NEMATODA,1,0.00009,Adult
BL0126,8,2009,ISOPODA,1,0.00577,Adult
BL0126,8,2009,MYSIDAE,2,0.01482,Adult
BL0126,8,2009,PTEROPODA,2,0.00082268,Juvenile
BL0127,8,2009,GAMMARIDAE,1,0.00005,AdultSmall
BL0127,8,2009,MYSIDAE,14,0.06137,Adult
BL0129,8,2009,CAPRELLIDAE,4,0.00204,Juvenile
BL0129,8,2009,GAMMARIDAE,6,0.00094938,AdultVerySmall
BL0129,8,2009,HARPACTICOIDA,3,0.00155931,Adult
BL0129,8,2009,PTEROPODA,3,0.00123403,Juvenile
BL0134,8,2009,CAPRELLIDAE,1,0.00098,Juvenile
BL0134,8,2009,MYSIDAE,3,0.01844,Adult
BL0136,8,2009,HARPACTICOIDA,3,0.00155931,Adult
BL0136,8,2009,PTEROPODA,19,0.0078155,Adult
BL0137,8,2009,MYSIDAE,14,0.03601,Adult
BL0140,8,2009,HARPACTICOIDA,1,0.00051977,Adult
BL0140,8,2009,ISOPODA,1,0.0042,Adult
BL0140,8,2009,MYSIDAE,26,0.01641,Adult
BL0141,8,2009,EMPTY,NA,NA,NA
BL0144,8,2009,CUMACEA,1,0.00029355,Adult
BL0144,8,2009,GAMMARIDAE,1,0.00015823,AdultVerySmall
BL0144,8,2009,HARPACTICOIDA,12,0.00623724,Adult
BL0144,8,2009,NEVERITA,3,0.00284583,Juvenile
BL0145,8,2009,ACARTIALONGIREMIS,4,0.00018304,Adult
BL0145,8,2009,CAPRELLIDAE,2,0.00769,Juvenile
BL0145,8,2009,CIRRIPEDIA,3,0.00007275,BarnCyp
BL0145,8,2009,CLADOCERA,3,0.00020856,Adult
BL0145,8,2009,CUMACEA,3,0.00088065,Adult
BL0145,8,2009,GAMMARIDAE,3,0.00047469,AdultVerySmall
BL0145,8,2009,OSTEICHTHYES,1,0.00475,Larvae
BL0145,8,2009,PTEROPODA,8,0.003290736,Adult
BL0194,8,2009,MYSIDAE,2,0.00001,Adult
BL0194,8,2009,PTEROPODA,182,0.07568,Adult
BL0195,8,2009,GAMMARIDAE,1,0.00312,AdultSmall
BL0195,8,2009,HARPACTICOIDA,2,0.00103954,Adult
BL0195,8,2009,PTEROPODA,54,0.02548,Juvenile
BL0199,8,2009,ACARTIALONGIREMIS,1,0.00004576,Adult
BL0199,8,2009,MYSIDAE,4,0.01543,Adult
BL0199,8,2009,PTEROPODA,4,0.00228,Adult
BL0200,8,2009,GAMMARIDAE,1,0.00015823,AdultVerySmall
BL0200,8,2009,MYSIDAE,3,0.01251,Adult
BL0200,8,2009,PTEROPODA,41,0.01448,Adult
BL0203,8,2009,ACARTIALONGIREMIS,1,0.00004576,Adult
BL0203,8,2009,SHRIMPLARVAE,11,0.00391424,Larvae
BL0204,8,2009,CAPRELLIDAE,2,0.00152,Juvenile
BL0204,8,2009,CUMACEA,1,0.00029355,Adult
BL0204,8,2009,SHRIMPLARVAE,4,0.00276,Larvae
BL0204,8,2009,UNIDENTIFIED,1,0.00092,Adult
BL0207,8,2009,CLADOCERA,5,0.0003476,Adult
BL0208,7,2009,ACARTIALONGIREMIS,33,0.00151008,Adult
BL0209,7,2009,EMPTY,NA,NA,NA
BL0210,7,2009,ACARTIALONGIREMIS,1,0.00004576,Adult
BL0212,7,2009,MYSIDAE,3,0.00015,Adult
BL0213,7,2009,ACARTIALONGIREMIS,46,0.00210496,Adult
BL0213,7,2009,CLADOCERA,11,0.00076472,Adult
BL0216,7,2009,ACARTIALONGIREMIS,2,0.00009152,Adult
BL0216,7,2009,HARPACTICOIDA,2,0.00103954,Adult
BL0222,7,2009,EMPTY,NA,NA,NA
BL0225,7,2009,ACARTIALONGIREMIS,11,0.00050336,Adult
BL0226,7,2009,EMPTY,NA,NA,NA
BL0228,7,2009,ACARTIALONGIREMIS,65,0.0029744,Adult
BL0230,7,2009,EMPTY,NA,NA,NA
BL0231,7,2009,ACARTIALONGIREMIS,42,0.00192192,Adult
BL0232,7,2009,ACARTIALONGIREMIS,88,0.00402688,Adult
BL0232,7,2009,HARPACTICOIDA,4,0.00207908,Adult
BL0233,7,2009,ACARTIALONGIREMIS,2,0.00009152,Adult
BL0234,7,2009,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0234,7,2009,HARPACTICOIDA,8,0.00023,Adult
BL0234,7,2009,OSTEICHTHYES,1,0.00046,Juvenile
BL0236,7,2009,MYSIDAE,4,0.00001,Adult
BL0237,7,2009,ACARTIALONGIREMIS,4,0.00018304,Adult
BL0237,7,2009,HARPACTICOIDA,1,0.00051977,Adult
BL0237,7,2009,MYSIDAE,7,0.00011,Adult
BL0243,7,2009,CLADOCERA,2,0.00013904,Adult
BL0243,7,2009,CUMACEA,1,0.00029355,Adult
BL0243,7,2009,GAMMARIDAE,1,0.00195,Adult
BL0243,7,2009,MYSIDAE,8,0.00186,Adult
BL0245,7,2009,ACARTIALONGIREMIS,1,0.00004576,Adult
BL0245,7,2009,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0245,7,2009,CLADOCERA,22,0.00152944,Adult
BL0245,7,2009,MYSIDAE,9,0.00206,Adult
BL0252,8,2006,ACARTIALONGIREMIS,2,0.00009152,Adult
BL0252,8,2006,HARPACTICOIDA,1,0.00051977,Adult
BL0256,8,2006,CAPRELLIDAE,1,0.00063,JuvenileVerySmall
BL0256,8,2006,CLADOCERA,1,0.00001382,Adult
BL0256,8,2006,GAMMARIDAE,3,0.00051,Adult
BL0256,8,2006,HARPACTICOIDA,5,0.00259885,Adult
BL0256,8,2006,NEREISSP,1,0.01025,Adult
BL0258,8,2006,ACARTIALONGIREMIS,6,0.00027456,Adult
BL0259,8,2006,CUMACEA,8,0.0023484,Adult
BL0259,8,2006,GAMMARIDAE,6,0.00211,Adult
BL0259,8,2006,HARPACTICOIDA,7,0.00363839,Adult
BL0259,8,2006,NEREISSP,1,0.00136,Adult
BL0260,8,2006,ACARTIALONGIREMIS,19,0.00086944,Adult
BL0260,8,2006,GAMMARIDAE,2,0.00031646,AdultVerySmall
BL0260,8,2006,HARPACTICOIDA,1,0.00051977,Adult
BL0286,8,2006,ACARTIALONGIREMIS,16,0.00073216,Adult
BL0286,8,2006,CAPRELLIDAE,3,0.00128,JuvenileVerySmall
BL0286,8,2006,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0286,8,2006,HARPACTICOIDA,2,0.00103954,Adult
BL0287,8,2006,ACARTIALONGIREMIS,1,0.00004576,Adult
BL0287,8,2006,HARPACTICOIDA,10,0.0051977,Adult
BL0293,8,2006,GAMMARIDAE,5,0.01063,Adult
BL0293,8,2006,SIPUNCULIDA,1,0.04479,Adult
BL0295,8,2006,CUMACEA,111,0.02214,Adult
BL0295,8,2006,GAMMARIDAE,1,0.02102,AdultLarge
BL0295,8,2006,ISOPODA,5,0.03058,Adult
BL0295,8,2006,MYSIDAE,3,0.01326,Adult
BL0295,8,2006,NEMATODA,1,0.00203,Adult
BL0296,8,2006,CAPRELLIDAE,1,0.00207,JuvenileVerySmall
BL0296,8,2006,ISOPODA,18,0.1308,Adult
BL0296,8,2006,MYSIDAE,19,0.03421,Adult
BL0339,8,2006,GAMMARIDAE,16,0.01671,Adult
BL0339,8,2006,HARPACTICOIDA,15,0.00779655,Adult
BL0339,8,2006,SIPUNCULIDA,1,0.03222,Adult
BL0343,8,2006,GAMMARIDAE,10,0.10722,Adult
BL0343,8,2006,HARPACTICOIDA,13,0.00675701,Adult
BL0374,8,2006,ACARTIALONGIREMIS,6,0.00027456,Adult
BL0374,8,2006,CAPRELLIDAE,1,0.00031,Juvenile
BL0374,8,2006,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0374,8,2006,HARPACTICOIDA,4,0.00207908,Adult
BL0374,8,2006,NEREISSP,2,0.01355,Adult
BL0375,8,2006,GAMMARIDAE,4,0.12995,AdultLarge
BL0375,8,2006,HARPACTICOIDA,2,0.00103954,Adult
BL0375,8,2006,INSECTA,22,0.08564,Adult
BL0375,8,2006,POLYCHAETA,1,0.01676,Adult
BL0384,8,2006,NEREISSP,1,0.01516,Adult
BL0384,8,2006,SPIRONTOCARIS,1,0.01352,Adult
BL0422,8,2006,ACARTIALONGIREMIS,52,0.00237952,Adult
BL0422,8,2006,CIRRIPEDIA,2,0.00001,BarnNaup
BL0422,8,2006,HARPACTICOIDA,7,0.00363839,Adult
BL0426,8,2006,ACARTIALONGIREMIS,158,0.00723008,Adult
BL0426,8,2006,CLADOCERA,4,0.00027808,Adult
BL0426,8,2006,HARPACTICOIDA,4,0.00207908,Adult
BL0426,8,2006,METRIDIA,6,0.00009474,Adult
BL0459,8,2006,CUMACEA,4,0.0011742,Adult
BL0459,8,2006,HARPACTICOIDA,377,0.19595329,Adult
BL0462,8,2006,CAPRELLIDAE,18,0.01674,Juvenile
BL0462,8,2006,HARPACTICOIDA,108,0.05613516,Adult
BL0463,8,2006,CAPRELLIDAE,4,0.00514,JuvenileVerySmall
BL0463,8,2006,HARPACTICOIDA,599,0.13155,Adult
BL0476,8,2006,HARPACTICOIDA,4,0.00207908,Adult
BL0476,8,2006,MEGAYOLDIA,1,0.00112596,Adult
BL0476,8,2006,NEPHTYSSP,1,0.01438,Adult
BL0478,8,2006,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0478,8,2006,HARPACTICOIDA,6,0.00311862,Adult
BL0478,8,2006,POLYCHAETA,1,0.0016,Adult
BL0487,8,2006,CIRRIPEDIA,2,0.0000485,BarnCyp
BL0487,8,2006,HARPACTICOIDA,11,0.00571747,Adult
BL0488,8,2006,HARPACTICOIDA,35,0.01819195,Adult
BL0488,8,2006,METRIDIA,2,0.00003158,Adult
BL0521,8,2006,CAPRELLIDAE,9,0.0063,JuvenileVerySmall
BL0521,8,2006,GAMMARIDAE,2,0.00001,AdultVerySmall
BL0521,8,2006,MYSIDAE,2,0.00474,Adult
BL0524,8,2006,HARPACTICOIDA,1,0.00051977,Adult
BL0524,8,2006,METRIDIA,1,0.00001579,Adult
BL0524,8,2006,NEVERITA,6,0.00384,Juvenile
BL0533,8,2006,ACARTIALONGIREMIS,31,0.00141856,Adult
BL0533,8,2006,CIRRIPEDIA,6,0.0001455,BarnCyp
BL0533,8,2006,CUMACEA,1,0.00029355,Adult
BL0533,8,2006,HARPACTICOIDA,3,0.00155931,Adult
BL0533,8,2006,METRIDIA,4,0.00006316,Adult
BL0538,8,2008,GAMMARIDAE,10,0.06738,AdultLarge
BL0538,8,2008,HARPACTICOIDA,3,0.00155931,Adult
BL0542,8,2008,DECAPODA,3,0.00157,Megalopa
BL0542,8,2008,GAMMARIDAE,40,0.04601,Adult
BL0543,8,2008,ACARTIALONGIREMIS,362,0.01656512,Adult
BL0543,8,2008,GAMMARIDAE,4,0.00487,Adult
BL0543,8,2008,HARPACTICOIDA,2,0.00103954,Adult
BL0543,8,2008,ROCK,1,0.00071,Rock
BL0544,8,2008,ACARTIALONGIREMIS,137,0.00626912,Adult
BL0544,8,2008,HARPACTICOIDA,1,0.00051977,Adult
BL0545,8,2008,GAMMARIDAE,38,0.1073,AdultSmall
BL0545,8,2008,HARPACTICOIDA,6,0.00311862,Adult
BL0545,8,2008,NEMATODA,1,0.00117,Adult
BL0546,8,2008,CAPRELLIDAE,2,0.00065,Adult
BL0546,8,2008,GAMMARIDAE,32,0.13596,
BL0546,8,2008,HARPACTICOIDA,4,0.00207908,Adult
BL0547,8,2008,ACARTIALONGIREMIS,749,0.03427424,Adult
BL0547,8,2008,CIRRIPEDIA,5,0.00012125,BarnCyp
BL0547,8,2008,HARPACTICOIDA,9,0.00467793,Adult
BL0547,8,2008,ISOPODA,2,0.00042,Cryptoniscus
BL0548,8,2008,ACARTIALONGIREMIS,326,0.01491776,Adult
BL0548,8,2008,CAPRELLIDAE,3,0.00345,Adult
BL0548,8,2008,GAMMARIDAE,1,0.00118,Adult
BL0548,8,2008,PTEROPODA,3,0.00265,Adult
BL0549,8,2008,ACARTIALONGIREMIS,348,0.01592448,Adult
BL0549,8,2008,CAPRELLIDAE,4,0.00224,Adult
BL0549,8,2008,HARPACTICOIDA,1,0.00051977,Adult
BL0550,8,2008,ACARTIALONGIREMIS,309,0.01413984,Adult
BL0550,8,2008,CIRRIPEDIA,2,0.0000485,BarnCyp
BL0550,8,2008,GAMMARIDAE,1,0.00228,Adult
BL0550,8,2008,HARPACTICOIDA,2,0.00103954,Adult
BL0551,8,2008,ACARTIALONGIREMIS,283,0.01295008,Adult
BL0551,8,2008,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0551,8,2008,CLADOCERA,1,0.00006952,Adult
BL0551,8,2008,GAMMARIDAE,1,0.00167,Adult
BL0551,8,2008,HARPACTICOIDA,5,0.00259885,Adult
BL0552,8,2008,ACARTIALONGIREMIS,744,0.03404544,Adult
BL0552,8,2008,CALANUS,1,0.00007,Adult
BL0552,8,2008,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0552,8,2008,ClADOCERA,3,0.00020856,Adult
BL0552,8,2008,GAMMARIDAE,1,0.00054,Adult
BL0552,8,2008,HARPACTICOIDA,20,0.0103954,Adult
BL0552,8,2008,ISOPODA,3,0.00183,Cryptoniscus
BL0553,8,2008,ACARTIALONGIREMIS,18,0.00082368,Adult
BL0553,8,2008,BarnNaup,2,0.0000485,BarnNaup
BL0553,8,2008,BarnCyp,4,0.000097,BarnCyp
BL0553,8,2008,DECAPODA,2,0.0007,Megalopa
BL0553,8,2008,GAMMARIDAE,1,0.00099,Adult
BL0553,8,2008,HARPACTICOIDA,7,0.00363839,Adult
BL0554,8,2008,ACARTIALONGIREMIS,97,0.00443872,Adult
BL0554,8,2008,CAPRELLIDAE,1,0.00061,Adult
BL0554,8,2008,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0554,8,2008,CLADOCERA,9,0.00062568,Adult
BL0554,8,2008,CORPHIIDAE,1,0.00114,Adult
BL0554,8,2008,HARPACTICOIDA,7,0.00363839,Adult
BL0554,8,2008,ISOPODA,2,0.00036,Cryptoniscus
BL0554,8,2008,OITHONIA,1,0.00002,Adult
BL0555,8,2008,ACARTIALONGIREMIS,369,0.01688544,Adult
BL0555,8,2008,CLADOCERA,1,0.00006952,Adult
BL0555,8,2008,GAMMARIDAE,1,0.00035,Adult
BL0555,8,2008,HARPACTICOIDA,7,0.00363839,Adult
BL0555,8,2008,PLASTIC,1,0.0005,Plastic
BL0556,8,2008,ACARTIALONGIREMIS,541,0.02475616,Adult
BL0556,8,2008,CLADOCERA,1,0.00006952,Adult
BL0556,8,2008,HARPACTICOIDA,45,0.02338965,Adult
BL0556,8,2008,ISOPODA,1,0.00002,Cryptoniscus
BL0557,8,2008,ACARTIALONGIREMIS,132,0.00604032,Adult
BL0557,8,2008,CLADOCERA,2,0.00013904,Adult
BL0557,8,2008,HARPACTICOIDA,1,0.00051977,Adult
BL0558,8,2008,CIRRIPEDIA,2,0.0000485,BarnCyp
BL0558,8,2008,CLADOCERA,1,0.00006952,Adult
BL0558,8,2008,GAMMARIDAE,1,0.00034,Adult
BL0559,8,2008,ACARTIALONGIREMIS,455,0.0208208,Adult
BL0559,8,2008,HARPACTICOIDA,5,0.00259885,Adult
BL0560,8,2008,ACARTIALONGIREMIS,541,0.02475616,Adult
BL0560,8,2008,CLADOCERA,3,0.00020856,Adult
BL0561,8,2008,ACARTIALONGIREMIS,639,0.02924064,Adult
BL0561,8,2008,CLADOCERA,4,0.00027808,Adult
BL0562,8,2008,ACARTIALONGIREMIS,509,0.02329184,Adult
BL0562,8,2008,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0562,8,2008,CLADOCERA,1,0.00006952,Adult
BL0562,8,2008,GAMMARIDAE,2,0.00665,Adult
BL0562,8,2008,HARPACTICOIDA,10,0.0051977,Adult
BL0711,8,2007,CIRRIPEDIA,3,0.00007275,Adult
BL0711,8,2007,CLADOCERA,280,0.0038696,Adult
BL0711,8,2007,CUMACEA,3,0.00088065,Adult
BL0712,8,2007,CIRRIPEDIA,3,0.00007275,BarnCyp
BL0712,8,2007,CLADOCERA,329,0.00306,Adult
BL0712,8,2007,CUMACEA,2,0.0005871,Adult
BL0712,8,2007,HARPACTICOIDA,7,0.00363839,Adult
BL0713,8,2007,ACARTIALONGIREMIS,10,0.0004576,Adult
BL0713,8,2007,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0713,8,2007,CLADOCERA,343,0.00474026,Adult
BL0713,8,2007,HARPACTICOIDA,19,0.00987563,Adult
BL0714,8,2007,ACARTIALONGIREMIS,20,0.0009152,Adult
BL0714,8,2007,CIRRIPEDIA,5,0.00012125,BarnCyp
BL0714,8,2007,CLADOCERA,269,0.00371758,Adult
BL0714,8,2007,CUMACEA,3,0.00088065,Adult
BL0714,8,2007,HARPACTICOIDA,14,0.00727678,Adult
BL0714,8,2007,MEGAYOLDIA,4,0.00450384,Juvenile
BL0714,8,2007,NEVERITA,21,0.00881,Juvenile
BL0714,8,2007,SALPS,1,0.00024,Adult
BL0715,8,2007,CAPRELLIDAE,2,0.00001,JuvenileVerySmall
BL0715,8,2007,CLADOCERA,485,0.0067027,Adult
BL0715,8,2007,HARPACTICOIDA,2,0.00103954,Adult
BL0716,8,2007,CIRRIPEDIA,3,0.00007275,BarnCyp
BL0716,8,2007,CLADOCERA,631,0.00872042,Adult
BL0716,8,2007,CUMACEA,1,0.00029355,Adult
BL0716,8,2007,HARPACTICOIDA,2,0.00103954,Adult
BL0717,8,2007,CIRRIPEDIA,4,0.000097,BarnCyp
BL0717,8,2007,CLADOCERA,765,0.0105723,Adult
BL0718,8,2007,CLADOCERA,429,0.00592878,Adult
BL0718,8,2007,GAMMARIDAE,1,0.00098,AdultVerySmall
BL0718,8,2007,HARPACTICOIDA,1,0.00051977,Adult
BL0719,8,2007,CLADOCERA,74,0.00102268,Adult
BL0720,8,2007,CLADOCERA,372,0.00514104,Adult
BL0720,8,2007,CUMACEA,1,0.00029355,Adult
BL0720,8,2007,HARPACTICOIDA,1,0.00051977,Adult
BL0720,8,2007,NEVERITA,3,0.00326,Juvenile
BL0721,8,2007,CLADOCERA,61,0.00084302,Adult
BL0722,8,2007,CLADOCERA,525,0.0072555,Adult
BL0722,8,2007,GAMMARIDAE,1,0.00015823,AdultVerySmall
BL0722,8,2007,HARPACTICOIDA,3,0.00155931,Adult
BL0723,8,2007,ACARTIALONGIREMIS,32,0.00146432,Adult
BL0723,8,2007,CLADOCERA,970,0.0134054,Adult
BL0723,8,2007,HARPACTICOIDA,11,0.00571747,Adult
BL0724,8,2007,CLADOCERA,371,0.00512722,Adult
BL0724,8,2007,HARPACTICOIDA,1,0.00051977,Adult
BL0725,8,2007,CLADOCERA,210,0.0029022,Adult
BL0725,8,2007,METRIDIA,1,0.00001579,Adult
BL0726,8,2007,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0726,8,2007,CLADOCERA,698,0.00964636,Adult
BL0727,8,2007,CLADOCERA,229,0.00316478,Adult
BL0727,8,2007,HARPACTICOIDA,11,0.00571747,Adult
BL0728,8,2007,ACARTIALONGIREMIS,5,0.0002288,Adult
BL0728,8,2007,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0728,8,2007,CLADOCERA,227,0.01578104,Adult
BL0728,8,2007,CUMACEA,1,0.00029355,Adult
BL0728,8,2007,HARPACTICOIDA,9,0.00467793,Adult
BL0729,8,2007,CLADOCERA,367,0.00507194,Adult
BL0729,8,2007,HARPACTICOIDA,2,0.00103954,Adult
BL0729,8,2007,MYSIDAE,1,0.00066,Adult
BL0729,8,2007,NEVERITA,11,0.00902,Juvenile
BL0729,8,2007,SALPS,4,0.00096,Adult
BL0730,8,2007,CIRRIPEDIA,1,0.00002425,BarnCyp
BL0730,8,2007,CLADOCERA,393,0.00543126,Adult
BL0730,8,2007,HARPACTICOIDA,1,0.00051977,Adult
BL0731,8,2007,ACARTIALONGIREMIS,11,0.00050336,Adult
BL0731,8,2007,CLADOCERA,726,0.01003332,Adult
BL0731,8,2007,HARPACTICOIDA,4,0.00207908,Adult
BL0747,7,2007,CLADOCERA,183,0.00252906,Adult
BL0754,7,2007,CLADOCERA,289,0.00399398,Adult
BL0754,7,2007,HARPACTICOIDA,8,0.00415816,Adult
BL0754,7,2007,METRIDIA,8,0.00012632,Adult
BL0755,7,2007,ACARTIALONGIREMIS,14,0.00064064,Adult
BL0755,7,2007,CIRRIPEDIA,2,0.00001,BarnNaup
BL0755,7,2007,CLADOCERA,44,0.00060808,Adult
BL0755,7,2007,HARPACTICOIDA,6,0.00311862,Adult
BL0756,7,2007,ACARTIALONGIREMIS,25,0.001144,Adult
BL0756,7,2007,BarnCyp,2,0.0000485,BarnCyp
BL0756,7,2007,BarnNaup,19,0.00004,BarnNaup
BL0756,7,2007,CLADOCERA,299,0.00413218,Adult
BL0756,7,2007,HARPACTICOIDA,2,0.00103954,Adult
BL0757,7,2007,ACARTIALONGIREMIS,31,0.00141856,Adult
BL0757,7,2007,CLADOCERA,389,0.00537598,Adult
BL0757,7,2007,HARPACTICOIDA,8,0.00415816,Adult
BL0757,7,2007,METRIDIA,1,0.00001579,Adult
BL0758,7,2007,ACARTIALONGIREMIS,49,0.00224224,Adult
BL0758,7,2007,CIRRIPEDIA,1,0.00002425,BarnNaup
BL0758,7,2007,CLADOCERA,26,0.00035932,Adult
BL0758,7,2007,HARPACTICOIDA,6,0.00311862,Adult
BL0759,7,2007,CLADOCERA,96,0.00176,Adult
BL0759,7,2007,METRIDIA,4,0.00006316,Adult
BL0760,7,2007,ACARTIALONGIREMIS,6,0.00027456,Adult
BL0760,7,2007,CIRRIPEDIA,10,0.00002,BarnNaup
BL0760,7,2007,CLADOCERA,121,0.00167222,Adult
BL0760,7,2007,HARPACTICOIDA,4,0.00207908,Adult
BL0761,7,2007,ACARTIALONGIREMIS,1,0.00004576,Adult
BL0761,7,2007,CIRRIPEDIA,4,0.00001,BarnNaup
BL0761,7,2007,CLADOCERA,11,0.00027808,Adult
BL0762,7,2007,CLADOCERA,46,0.00063572,Adult
BL0762,7,2007,HARPACTICOIDA,10,0.0051977,Adult
BL0763,7,2007,CIRRIPEDIA,2,0.0000485,BarnCyp
BL0763,7,2007,CLADOCERA,364,0.00503048,Adult
BL0763,7,2007,HARPACTICOIDA,2,0.00103954,Adult
BL0763,7,2007,MEGAYOLDIA,1,0.00112596,Juvenile
BL0764,7,2007,ACARTIALONGIREMIS,12,0.00054912,Adult
BL0764,7,2007,CIRRIPEDIA,2,0.00001,BarnNaup
BL0764,7,2007,CLADOCERA,238,0.00328916,Adult
BL0764,7,2007,HARPACTICOIDA,16,0.00831632,Adult
BL0764,7,2007,NEVERITA,2,0.00189722,Juvenile
BL0764,7,2007,ZOEA,1,0.00001,Zoea
BL0765,7,2007,EMPTY,NA,NA,NA
BL0766,7,2007,CLADOCERA,170,0.0023494,Adult
BL0766,7,2007,HARPACTICOIDA,1,0.00051977,Adult
BL0767,7,2007,ACARTIALONGIREMIS,26,0.00118976,Adult
BL0767,7,2007,CLADOCERA,13,0.00017966,Adult
BL0767,7,2007,HARPACTICOIDA,11,0.00571747,Adult
BL0767,7,2007,METRIDIA,60,0.0009474,Adult
BL0768,7,2007,CLADOCERA,132,0.00182424,Adult
BL0768,7,2007,HARPACTICOIDA,6,0.00311862,Adult
BL0769,7,2007,ACARTIALONGIREMIS,8,0.00036608,Adult
BL0769,7,2007,CLADOCERA,23,0.00159896,Adult
BL0769,7,2007,HARPACTICOIDA,4,0.00207908,Adult
BL0770,7,2007,CLADOCERA,137,0.00189334,Adult
BL0771,7,2007,CIRRIPEDIA,2,0.00001,BarnNaup
BL0771,7,2007,CLADOCERA,110,0.0015202,Adult
BL0772,7,2007,ACARTIALONGIREMIS,61,0.00279136,Adult
BL0772,7,2007,CLADOCERA,2,0.00002764,Adult
BL0772,7,2007,METRIDIA,7,0.00011053,Adult
BL0773,7,2007,CLADOCERA,98,0.00135436,Adult
BL0773,7,2007,HARPACTICOIDA,7,0.00363839,Adult
BL0774,7,2007,CLADOCERA,269,0.00371758,Adult
BL0774,7,2007,HARPACTICOIDA,2,0.00103954,Adult
BL0775,7,2007,ACARTIALONGIREMIS,140,0.0064064,Adult
BL0775,7,2007,CLADOCERA,34,0.00236368,Adult
BL0775,7,2007,HARPACTICOIDA,2,0.00103954,Adult
