"","X","FISHID","Year","Month","Heatwave","CLADOCERA","GAMMARIDAE","HARPACTICOIDA","MYSIDAE","CAPRELLIDAE","CALANOIDA","ANNELIDA","OTHER","SL_mm","WholeBodyWW_g","HSI","LWResiduals_All","SeineID","SITEID","Date","TridentTemp","Site","Bay","Habitat","NMDS1","NMDS2","NMDS3"
"43",43,"BL2179",2018,8,"Between",0,0.0263175725619672,0,0.973682427438033,0,0,0,0,108,12.9072,0.236302219,0.040596595,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",1.01216970140012,-0.747395987334091,-0.377721900924769
"44",44,"BL0881",2010,8,"Before",0,0.972217793385012,0.0277822066149879,0,0,0,0,0,77,5.2236,0.158894249,0.173000478,333,"SITE15",2010-08-23,10.42416667,"EelgrassSouth","Cook","Eelgrass",0.353599166166931,1.1485129058182,-0.276384226251683
"45",45,"BL0488",2006,8,"Before",0,0,0.972106510767242,0,0,0.0278934892327578,0,0,60,2.2092,0.027159153,0.077066549,55,"SITE6",2006-08-21,10.3375,"BackBayEelgrass","ALB","Eelgrass",-1.27629172161504,0.714670071455026,0.432626328809068
"46",46,"BL0083",2009,8,"Before",0.00866413904771687,0,0.0209865666634647,0,0,0.970349294288818,0,0,61,2.337,1.326486949,0.082640185,294,"SITE14",2009-08-29,9.630833333,"LaminariaEast","Cook","Laminaria",-0.886246805638678,-0.143852232639991,-1.05472711990309
"47",47,"BL0127",2009,8,"Before",0,0.033740366872897,0,0.966259633127103,0,0,0,0,72,4.3989,1.304871672,0.206956832,269,"SITE1",2009-08-23,9.260416667,"EelgrassPatches","ALB","Eelgrass",1.00820675181647,-0.737482955775953,-0.391536850349225
"48",48,"BL2376",2019,8,"Heatwave",0.0086199422200294,0.0263957501732888,0,0.964984307606682,0,0,0,0,91,8.3895,2.335061684,0.134757141,863,"SITE2",2019-08-25,13.305,"CobblePoint","ALB","Eelgrass",0.808590713256924,-0.844832471614196,-0.352884010591921
"49",49,"BL2425",2012,8,"Before",0.00692995192040579,0,0.00393439024871811,0,0,0.962793615667216,0,0.0263420421636598,54,1.48035,0.234404026,-0.000344868,453,"SITE3",2012-08-24,9.102916667,"EelgrassPoint","ALB","Eelgrass",-0.694720180969756,-0.241220075104241,-0.977064067078959
"50",50,"BL2107",2013,8,"Before",0,0.966759964480329,0,0.0203494853950781,0,0,0,0.0128905501245927,87,7.6188,0.611644878,0.176175584,523,"SITE15",2013-08-30,9.54375,"EelgrassSouth","Cook","Eelgrass",0.531273843285666,0.982758373235417,-0.325265386771758
"51",51,"BL0544",2008,8,"Before",0,0,0.0419041150373967,0,0,0.958095884962603,0,0,71,2.1647,0.064674089,-0.459246666,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",-0.893390592474649,-0.0824365182319868,-1.04794134648608
"52",52,"BL2419",2012,8,"Before",0,0.955876739376802,0.0202851170253274,0,0.00825042621324326,0,0,0.0155877173846272,86,7.1277,4.414607798,0.144980383,462,"SITE14",2012-08-29,9.817916667,"LaminariaEast","Cook","Laminaria",0.395890204343459,1.04508839632906,-0.264685711325773
"53",53,"BL0085",2009,8,"Before",0.0167381556996037,0,0.0269279203988972,0,0,0.952901008822548,0,0.00343291507895126,61,2.4797,0.92349881,0.141909715,294,"SITE14",2009-08-29,9.630833333,"LaminariaEast","Cook","Laminaria",-0.722118337193902,-0.222120547027593,-0.960344037575534
"54",54,"BL0724",2007,8,"Before",0.952634051003706,0,0.0473659489962937,0,0,0,0,0,48,0.6364,0.14142049,-0.483534638,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-1.17641051615767,-0.96977801569916,0.553110361962357
"55",55,"BL0203",2009,8,"Before",0,0,0,0,0,0.0474444444444444,0,0.952555555555556,45,1.0478,0.248138958,0.212903081,275,"SITE1",2009-08-24,9.311666667,"EelgrassPatches","ALB","Eelgrass",0.0602332598792753,-0.287169803503541,1.08485105740028
"56",56,"BL0730",2007,8,"Before",0.951945801512357,0,0.0447591820918217,0,0,0,0,0.00329501639582082,58,1.2087,0.049640109,-0.422106869,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.970757686042001,-0.980715017465438,0.521436038402823
"57",57,"BL0287",2006,8,"Before",0,0,0.950181923594517,0,0,0.0498180764054824,0,0,61,2.4045,0.012476606,0.111114111,82,"SITE15",2006-08-28,10.68708333,"EelgrassSouth","Cook","Eelgrass",-1.27382509238528,0.699349987907503,0.375699865421026
"58",58,"BL2176",2018,8,"Between",0,0.0277586016332639,0,0.949943015142209,0,0,0,0.0222983832245276,119,19.813,1.617624792,0.171858613,792,"SITE1",2018-08-23,10.34541667,"EelgrassPatches","ALB","Eelgrass",0.891350254418382,-0.766151009439381,-0.327003896369735
"59",59,"BL0542",2008,8,"Before",0,0.948617750276157,0,0,0,0,0,0.0513822497238433,85,4.1761,0.07183736,-0.353780893,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",0.458468353343157,1.05480731534579,-0.211076195762383
"60",60,"BL2372",2019,8,"Heatwave",0,0.0317966016991504,0,0.946058220889555,0,0,0,0.0221451774112944,86,7.268,2.285360484,0.164472932,855,"SITE2",2019-08-24,13.21541667,"CobblePoint","ALB","Eelgrass",0.888734814539301,-0.76028794969935,-0.339160859927029
"61",61,"BL2364",2019,8,"Heatwave",0,0,0,0.944080808080808,0,0,0.0559191919191919,0,108,15.705,1.615409105,0.236790433,855,"SITE2",2019-08-24,13.21541667,"CobblePoint","ALB","Eelgrass",1.14311032727728,-0.874761345690982,-0.227893087213768
"62",62,"BL0095",2009,8,"Before",0.00826867410782989,0,0.0397169062317537,0,0,0.9418009424864,0,0.0102134771740161,49,1.2804,1.319900031,0.1523657,294,"SITE14",2009-08-29,9.630833333,"LaminariaEast","Cook","Laminaria",-0.729704205074486,-0.197601961304689,-0.930761894290592
"63",63,"BL0557",2008,8,"Before",0.017784874332217,0,0.0424975470833664,0,0,0.939717578584417,0,0,56,1.1379,0.026364355,-0.374909415,207,"SITE3",2008-08-23,9.508333333,"EelgrassPoint","ALB","Eelgrass",-0.910859084844474,-0.139525143088278,-1.00369510392341
"64",64,"BL2351",2019,8,"Heatwave",0,0,0,0.939511404526125,0,0,0,0.0604885954738752,74,4.5467,2.142213034,0.156023427,863,"SITE2",2019-08-25,13.305,"CobblePoint","ALB","Eelgrass",0.852778592357065,-0.921540985525157,-0.20572612557817
"65",65,"BL0559",2008,8,"Before",0,0,0.0609191728536395,0,0,0.93908082714636,0,0,61,1.4852,0.0403986,-0.370678427,207,"SITE3",2008-08-23,9.508333333,"EelgrassPoint","ALB","Eelgrass",-0.912508105072722,-0.0631175526812283,-1.0029488639854
"66",66,"BL2204",2015,8,"Heatwave",0,0,0,0.938562399948181,0.0614376000518187,0,0,0,90,7.3084,0.654041924,0.030669439,645,"SITE13",2015-08-26,12.72958333,"MiddleCove","Cook","Bare",0.948539898049385,-0.908472396165522,-0.321011156325105
"67",67,"BL2420",2012,8,"Before",0,0.934685270242944,0,0,0.0653147297570558,0,0,0,92,7.91829,0.585985105,0.043452798,462,"SITE14",2012-08-29,9.817916667,"LaminariaEast","Cook","Laminaria",0.512150333503202,1.10841912511778,-0.342607520663242
"68",68,"BL0715",2007,8,"Before",0.928217327757205,0,0.0690927075959648,0,0.00268996464683012,0,0,0,62,1.401,0.05710207,-0.478881722,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.984430229567013,-0.981474230621392,0.458343637191176
"69",69,"BL2358",2019,8,"Heatwave",0,0,0,0.928170920340294,0,0,0,0.0718290796597061,95,10.608,2.189856712,0.237532072,855,"SITE2",2019-08-24,13.21541667,"CobblePoint","ALB","Eelgrass",0.839074410603271,-0.915542946535232,-0.17645564602291
"70",70,"BL0716",2007,8,"Before",0.925874864711682,0,0.052898779755628,0,0,0,0,0.0212263555326895,48,0.6519,0.030679552,-0.459470759,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.975909703278418,-0.920671373067442,0.534919620293615
"71",71,"BL0891",2010,8,"Before",0,0.0718370230925893,0,0,0,0,0,0.928162976907411,89,8.9516,0.071495599,0.267724636,333,"SITE15",2010-08-23,10.42416667,"EelgrassSouth","Cook","Eelgrass",0.25045943204666,-0.0369958201483644,1.14155934863094
"72",72,"BL0547",2008,8,"Before",0,0,0.0651065224357404,0,0,0.923465906853159,0,0.0114275707111008,59,1.5412,0.084349857,-0.231487081,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",-0.742547431240385,-0.158654624485239,-0.890864918415491
"73",73,"BL0549",2008,8,"Before",0,0,0.0153257392372065,0,0.0656092577101626,0.919065003052631,0,0,72,2.4021,0.104075601,-0.398054323,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",-0.686636830966445,-0.16677702646503,-1.0367785734738
"74",74,"BL0487",2006,8,"Before",0,0,0.918871212676071,0,0,0,0,0.0811287873239288,59,2.2693,0.039659807,0.155422999,55,"SITE6",2006-08-21,10.3375,"BackBayEelgrass","ALB","Eelgrass",-0.972631076142282,0.511061636020024,0.644458893760367
"75",75,"BL0545",2008,8,"Before",0,0.917696378810682,0.0823036211893182,0,0,0,0,0,80,3.5461,0.087419983,-0.331489765,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",0.239105793734393,1.11298608271325,-0.226537085392889
"76",76,"BL0098",2009,8,"Before",0.0242376566426945,0,0.0573939734984507,0,0,0.914585031014303,0,0.00378333884455205,63,2.6724,0.228259243,0.117866312,294,"SITE14",2009-08-29,9.630833333,"LaminariaEast","Cook","Laminaria",-0.757446437963957,-0.196737537736245,-0.891617983393436
"77",77,"BL2118",2013,8,"Before",0,0,0,0,0,0.913380985320114,0,0.0866190146798863,70,3.26,0.567484663,-0.006323933,523,"SITE15",2013-08-30,9.54375,"EelgrassSouth","Cook","Eelgrass",-0.618883729797532,-0.259410940273338,-0.891965098741464
"78",78,"BL0546",2008,8,"Before",0,0.911213789184146,0.0601270501120773,0,0.0286591607037767,0,0,0,81,3.8896,0.077128754,-0.277108112,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",0.30830632787586,1.07324606117091,-0.250430266082585
"79",79,"BL0889",2010,8,"Before",0,0.0906295904747377,0,0,0,0,0,0.909370409525262,76,5.6717,0.079341291,0.29536979,333,"SITE15",2010-08-23,10.42416667,"EelgrassSouth","Cook","Eelgrass",0.259227193942629,0.0319793999748106,1.09668044741135
"80",80,"BL0195",2009,8,"Before",0,0.0614043256039831,0.0350802316710908,0,0,0,0,0.903515442724926,59,2.4704,0.368361399,0.240331666,275,"SITE1",2009-08-24,9.311666667,"EelgrassPatches","ALB","Eelgrass",0.149169637540667,-0.040215979580584,1.06385488172748
"81",81,"BL2361",2019,8,"Heatwave",0,0.0140228871496401,0,0.902252808242406,0,0,0.0602343890142059,0.0234899155937482,99,11.846,1.468006078,0.221500112,855,"SITE2",2019-08-24,13.21541667,"CobblePoint","ALB","Eelgrass",0.915634028643576,-0.721936921913305,-0.289117192087612
"82",82,"BL2426",2012,8,"Before",0.0502216756528867,0,0.0173793202818273,0,0,0.900725565791784,0,0.0316734382735026,58,2.06413,0.538725759,0.113056559,453,"SITE3",2012-08-24,9.102916667,"EelgrassPoint","ALB","Eelgrass",-0.734810335458979,-0.280463664050025,-0.889113325939301
"83",83,"BL0722",2007,8,"Before",0.900513701391947,0.00976214685496788,0.0897241517530851,0,0,0,0,0,52,0.6612,0.120992136,-0.690644456,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.963903031351228,-0.74535970311014,0.491002312810962
"84",84,"BL0718",2007,8,"Before",0.896733465501452,0.0671218215431806,0.0361447129553673,0,0,0,0,0,58,0.6135,0.081499593,-1.100227286,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.858904074782549,-0.841094793586815,0.479246713566336
"85",85,"BL0550",2008,8,"Before",0,0.0667058941350362,0.0328724882520233,0,0,0.89585181363794,0,0.00456980397500065,60,1.3757,0.029076107,-0.396601218,207,"SITE3",2008-08-23,9.508333333,"EelgrassPoint","ALB","Eelgrass",-0.6048602851489,-0.0476565989538885,-0.934542419555621
"86",86,"BL0555",2008,8,"Before",0.00298246669779877,0.00967862562175315,0.0961219149471029,0,0,0.891216992733345,0,0,60,1.4622,0.027356039,-0.335621759,207,"SITE3",2008-08-23,9.508333333,"EelgrassPoint","ALB","Eelgrass",-0.801791852189061,-0.0284096466853219,-0.890998713524125
"87",87,"BL2116",2013,8,"Before",0,1,0,0,0,0,0,0,103,12.5569,0.89193989,0.158374208,523,"SITE15",2013-08-30,9.54375,"EelgrassSouth","Cook","Eelgrass",0.498266974033675,1.24712630902332,-0.300289906347478
"88",88,"BL0711",2007,8,"Before",0.890671592558385,0,0,0,0,0,0,0.109328407441615,65,1.3834,0.072285673,-0.63635856,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-0.782406699926837,-1.01232393635402,0.633368875574087
"89",89,"BL0731",2007,8,"Before",0.887528783161497,0,0.0850991644005595,0,0,0.0273720524379433,0,0,49,0.7153,0.069900741,-0.429860073,122,"SITE3",2007-08-23,9.625833333,"EelgrassPoint","ALB","Eelgrass",-1.17072432188353,-0.801175117714213,0.460758189041444
"90",90,"BL2360",2019,8,"Heatwave",0,0,0,0.882641192109195,0.0834973990366834,0,0,0.0338614088541214,96,10.838,1.838900166,0.226886536,855,"SITE2",2019-08-24,13.21541667,"CobblePoint","ALB","Eelgrass",0.785776973674391,-0.860925479339231,-0.248820075531982
"91",91,"BL2258",2017,8,"Between",0,0,0.123323493457486,0,0,0.876676506542514,0,0,75,4.561,1.135715852,0.118020733,710,"SITE6",2017-08-18,10.21708333,"BackBayEelgrass","ALB","Eelgrass",-0.935136398733104,0.0126516984827181,-0.866452584186758
"92",92,"BL2270",2017,8,"Between",0,1,0,0,0,0,0,0,82,6.146,1.277253498,0.142777969,730,"SITE14",2017-08-22,10.58541667,"LaminariaEast","Cook","Laminaria",0.498266974033675,1.24712630902332,-0.300289906347478
"93",93,"BL2427",2012,8,"Before",0.112763309283068,0,0,0,0,0.874536074305985,0,0.0127006164109467,55,1.524,1.354986877,-0.027526899,453,"SITE3",2012-08-24,9.102916667,"EelgrassPoint","ALB","Eelgrass",-0.780585583027267,-0.357095087801686,-0.844731885327928
"94",94,"BL0538",2008,8,"Before",0,0.873306089526704,0.126693910473296,0,0,0,0,0,85,3.9843,0.100394047,-0.400797051,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",0.156884222815375,1.08809836315788,-0.180171091763324
"95",95,"BL2422",2012,8,"Before",0.013578728971722,0.870098344728027,0.0469826571476179,0,0.0143900882762541,0.0456947201230489,0,0.00925546075332967,59,2.47617,0.361041447,0.242664596,462,"SITE14",2012-08-29,9.817916667,"LaminariaEast","Cook","Laminaria",0.224821515026761,0.938488554470025,-0.31696135313722
"96",96,"BL0886",2010,8,"Before",0,0.0149484417675994,0.867405867688479,0,0.00288251227945599,0,0,0.114763178264465,61,2.4187,0.0868235,0.117002335,333,"SITE15",2010-08-23,10.42416667,"EelgrassSouth","Cook","Eelgrass",-0.816084373619006,0.426816584429945,0.631258921105132
"97",97,"BL2183",2018,8,"Between",0,0.862732566396819,0,0,0.076054537707712,0.0612128958954694,0,0,84,6.674,1.218160024,0.151334485,781,"SITE13",2018-08-21,10.16416667,"MiddleCove","Cook","Bare",0.374251353526519,0.988135974949456,-0.414525589674692
"98",98,"BL0543",2008,8,"Before",0,0.113779024523812,0.0258443262613171,0,0,0.86037664921487,0,0,81,3.5348,0.056580287,-0.372757716,220,"SITE12",2008-08-26,9.845416667,"BareNorth","Cook","Bare",-0.577320368569397,0.086947347133135,-0.974161934613297
"99",99,"BL0551",2008,8,"Before",0.00372598769784579,0.0499487028144943,0.083647237928369,0,0,0.860259505580761,0,0.00241856597852991,65,1.7033,0.041096695,-0.428335252,207,"SITE3",2008-08-23,9.508333333,"EelgrassPoint","ALB","Eelgrass",-0.669600337787217,-0.0391716274976319,-0.837313081330479
"100",100,"BL2415",2012,8,"Before",0,0.142191383595692,0,0.857808616404308,0,0,0,0,78,5.19379,1.122494363,0.127727116,461,"SITE9",2012-08-29,9.817916667,"EelgrassWest","Cook","Eelgrass",0.959232199495205,-0.486959213125879,-0.405626553575901
"101",101,"BL2414",2012,8,"Before",0,0.857455461525432,0,0,0,0.142544538474568,0,0,69,3.36854,0.194743123,0.070531204,461,"SITE9",2012-08-29,9.817916667,"EelgrassWest","Cook","Eelgrass",0.217794942904989,1.00512541888283,-0.51304513414431
